"","year","ageGroup","sex","cause","deaths"
"52103",2005,"65 to 69","Female","Injuries",229.5
"52105",2004,"75 to 79","Female","Injuries",460.2
"52106",2010,"35 to 39","Male","Injuries",55574.4
"52107",2011,"35 to 39","Female","Injuries",21226.2
"52108",2013,"Post Neonatal","Female","Injuries",7.4
"52112",2005,"Early Neonatal","Male","Injuries",9284.8
"52113",2009,"Late Neonatal","Male","Injuries",3325.1
"52117",2011,"Early Neonatal","Female","Injuries",6827.2
"52118",2012,"1 to 4","Male","Injuries",16089.3
"52119",2006,"70 to 74","Male","Injuries",387.7
"52122",2006,"75 to 79","Female","Injuries",463.5
"52123",2007,"80 plus","Male","Injuries",935.4
"52124",2006,"80 plus","Female","Injuries",886.5
"52127",2005,"Early Neonatal","Male","Injuries",3569.6
"52129",2012,"80 plus","Male","Injuries",37471.9
"52131",2009,"55 to 59","Male","Injuries",209.8
"52133",2013,"75 to 79","Male","Injuries",27790.4
"52135",2008,"50 to 54","Male","Injuries",163.4
"52141",2008,"5 to 9","Female","Injuries",16.4
"52142",2005,"65 to 69","Male","Injuries",296.4
"52143",2007,"50 to 54","Female","Injuries",19232.7
"52144",2005,"70 to 74","Male","Injuries",383.5
"52145",2009,"Post Neonatal","Female","Injuries",6.7
"52146",2005,"75 to 79","Male","Injuries",534.3
"52151",2007,"Post Neonatal","Male","Injuries",14406.4
"52154",2013,"1 to 4","Male","Injuries",15603.3
"52155",2009,"Early Neonatal","Female","Injuries",7053.6
"52156",2011,"Late Neonatal","Male","Injuries",3026.5
"52158",2006,"65 to 69","Female","Injuries",231.5
"52159",2013,"Post Neonatal","Male","Injuries",11778.3
"52160",2006,"70 to 74","Female","Injuries",325.8
"52161",2006,"75 to 79","Male","Injuries",542
"52162",2007,"75 to 79","Female","Injuries",463.4
"52164",2007,"80 plus","Female","Injuries",912.6
"52168",2011,"55 to 59","Male","Injuries",209.4
"52171",2005,"65 to 69","Female","Injuries",26659.9
"52179",2004,"50 to 54","Male","Injuries",40832.8
"52180",2009,"55 to 59","Female","Injuries",110.4
"52182",2010,"10 to 14","Male","Injuries",27
"52185",2005,"70 to 74","Female","Injuries",325
"52187",2011,"1 to 4","Male","Injuries",13.7
"52192",2010,"Early Neonatal","Female","Injuries",6917.2
"52193",2012,"5 to 9","Male","Injuries",13407.9
"52197",2010,"Early Neonatal","Male","Injuries",7927.7
"52198",2012,"10 to 14","Male","Injuries",14310.5
"52199",2007,"70 to 74","Male","Injuries",388.2
"52200",2007,"70 to 74","Female","Injuries",325.3
"52201",2007,"75 to 79","Male","Injuries",536.7
"52205",2010,"80 plus","Female","Injuries",916.8
"52208",2012,"Early Neonatal","Male","Injuries",2940.5
"52211",2005,"65 to 69","Male","Injuries",31345.9
"52213",2004,"Early Neonatal","Male","Injuries",3657.8
"52214",2005,"60 to 64","Female","Injuries",22869.7
"52216",2012,"75 to 79","Female","Injuries",27866.1
"52219",2006,"60 to 64","Male","Injuries",34653.2
"52224",2012,"80 plus","Female","Injuries",909.3
"52227",2013,"80 plus","Female","Injuries",903.7
"52231",2010,"20 to 24","Female","Injuries",40950.1
"52235",2012,"1 to 4","Female","Injuries",17494.3
"52236",2013,"Post Neonatal","Female","Injuries",11675.4
"52237",2006,"65 to 69","Male","Injuries",301
"52238",2007,"65 to 69","Female","Injuries",233.3
"52239",2007,"Early Neonatal","Female","Injuries",7561.9
"52240",2011,"Early Neonatal","Male","Injuries",7757.3
"52243",2010,"65 to 69","Female","Injuries",227.9
"52252",2004,"Early Neonatal","Female","Injuries",3408.5
"52254",2013,"80 plus","Female","Injuries",48928.6
"52257",2013,"80 plus","Male","Injuries",38546.7
"52262",2009,"5 to 9","Female","Injuries",16.9
"52263",2010,"65 to 69","Male","Injuries",296.6
"52264",2008,"50 to 54","Male","Injuries",45247
"52267",2007,"45 to 49","Female","Injuries",18279.3
"52273",2012,"45 to 49","Female","Injuries",19637.4
"52278",2013,"40 to 44","Male","Injuries",55233.5
"52281",2013,"Late Neonatal","Female","Injuries",3497.3
"52282",2013,"Early Neonatal","Male","Injuries",7325.9
"52283",2008,"60 to 64","Male","Injuries",243.2
"52284",2010,"70 to 74","Male","Injuries",382.4
"52299",2013,"70 to 74","Male","Injuries",32583
"52302",2010,"60 to 64","Female","Injuries",154.6
"52303",2010,"5 to 9","Female","Injuries",17.1
"52305",2011,"50 to 54","Male","Injuries",47885.4
"52306",2013,"80 plus","Male","Injuries",922.8
"52314",2010,"Early Neonatal","Male","Injuries",2.2
"52315",2012,"45 to 49","Male","Injuries",50539.7
"52316",2013,"10 to 14","Male","Injuries",14074.5
"52319",2005,"30 to 34","Female","Injuries",24125.8
"52320",2012,"5 to 9","Female","Injuries",10231.1
"52323",2012,"Post Neonatal","Male","Injuries",12195.8
"52324",2008,"60 to 64","Female","Injuries",157.7
"52325",2010,"70 to 74","Female","Injuries",313.5
"52326",2010,"75 to 79","Male","Injuries",532.1
"52327",2009,"80 plus","Male","Injuries",933.2
"52343",2011,"60 to 64","Male","Injuries",240.2
"52344",2012,"15 to 19","Male","Injuries",42.4
"52346",2013,"10 to 14","Female","Injuries",23.6
"52352",2007,"30 to 34","Male","Injuries",50709.2
"52353",2009,"Early Neonatal","Male","Injuries",2.2
"52358",2009,"30 to 34","Female","Injuries",24954.3
"52361",2007,"Early Neonatal","Male","Injuries",8669.7
"52362",2012,"Post Neonatal","Female","Injuries",12043.1
"52363",2007,"Late Neonatal","Female","Injuries",4494.7
"52365",2008,"65 to 69","Male","Injuries",299.3
"52366",2008,"65 to 69","Female","Injuries",232
"52367",2010,"75 to 79","Female","Injuries",449.6
"52379",2012,"75 to 79","Male","Injuries",27082.9
"52380",2005,"55 to 59","Female","Injuries",20796.3
"52383",2009,"55 to 59","Male","Injuries",47363.8
"52384",2011,"60 to 64","Female","Injuries",153
"52385",2009,"50 to 54","Female","Injuries",19697.4
"52390",2010,"40 to 44","Male","Injuries",52117.2
"52394",2011,"35 to 39","Male","Injuries",57427.4
"52395",2004,"25 to 29","Male","Injuries",56323.8
"52396",2012,"Late Neonatal","Female","Injuries",4.9
"52398",2009,"35 to 39","Male","Injuries",53870.7
"52402",2008,"55 to 59","Female","Injuries",111.7
"52404",2013,"Late Neonatal","Male","Injuries",2735.5
"52405",2009,"65 to 69","Male","Injuries",299
"52406",2009,"65 to 69","Female","Injuries",230
"52407",2008,"70 to 74","Male","Injuries",387.5
"52408",2009,"80 plus","Female","Injuries",915.2
"52420",2013,"70 to 74","Female","Injuries",30059.6
"52422",2004,"45 to 49","Female","Injuries",17292
"52423",2006,"55 to 59","Male","Injuries",39203.5
"52424",2013,"60 to 64","Female","Injuries",28417.7
"52427",2009,"1 to 4","Female","Injuries",11.6
"52428",2010,"1 to 4","Female","Injuries",12.1
"52429",2013,"10 to 14","Male","Injuries",27.5
"52432",2009,"35 to 39","Female","Injuries",20658.7
"52433",2010,"30 to 34","Female","Injuries",25429.7
"52436",2006,"60 to 64","Female","Injuries",158.1
"52437",2012,"Post Neonatal","Female","Injuries",7.2
"52438",2006,"35 to 39","Female","Injuries",20695.5
"52439",2008,"Early Neonatal","Male","Injuries",2.2
"52443",2005,"35 to 39","Male","Injuries",47805.2
"52444",2013,"5 to 9","Female","Injuries",9932.9
"52447",2009,"70 to 74","Male","Injuries",385.8
"52448",2010,"80 plus","Male","Injuries",932.2
"52449",2008,"75 to 79","Male","Injuries",534.9
"52461",2005,"60 to 64","Male","Injuries",33802.7
"52462",2006,"55 to 59","Female","Injuries",21349.9
"52467",2007,"60 to 64","Male","Injuries",243.8
"52468",2008,"55 to 59","Male","Injuries",209.5
"52470",2007,"45 to 49","Male","Injuries",44697.7
"52471",2009,"Post Neonatal","Male","Injuries",7.5
"52473",2007,"65 to 69","Male","Injuries",300.3
"52474",2012,"1 to 4","Male","Injuries",14
"52475",2006,"35 to 39","Male","Injuries",49774.5
"52477",2010,"Late Neonatal","Male","Injuries",3.7
"52478",2004,"30 to 34","Male","Injuries",47086.1
"52480",2012,"Post Neonatal","Male","Injuries",8.1
"52485",2012,"Late Neonatal","Female","Injuries",3637.9
"52486",2013,"Early Neonatal","Female","Injuries",6476.3
"52487",2011,"65 to 69","Male","Injuries",296.1
"52488",2008,"70 to 74","Female","Injuries",320.8
"52489",2009,"75 to 79","Male","Injuries",533.9
"52491",2008,"80 plus","Male","Injuries",934.9
"52500",2013,"75 to 79","Female","Injuries",28507.8
"52504",2008,"5 to 9","Male","Injuries",20.3
"52507",2008,"45 to 49","Female","Injuries",18515.1
"52508",2009,"50 to 54","Male","Injuries",46221.1
"52510",2006,"55 to 59","Female","Injuries",115.2
"52511",2006,"60 to 64","Male","Injuries",244.6
"52512",2010,"Post Neonatal","Male","Injuries",7.7
"52513",2004,"35 to 39","Male","Injuries",46398.3
"52514",2009,"60 to 64","Male","Injuries",242.6
"52515",2009,"60 to 64","Female","Injuries",156.1
"52517",2006,"40 to 44","Male","Injuries",46353.1
"52518",2008,"Early Neonatal","Female","Injuries",2.5
"52520",2009,"Early Neonatal","Female","Injuries",2.5
"52521",2010,"Early Neonatal","Female","Injuries",2.5
"52524",2012,"50 to 54","Male","Injuries",48720.5
"52525",2012,"Late Neonatal","Male","Injuries",2862.1
"52526",2012,"Early Neonatal","Male","Injuries",7507.6
"52527",2012,"Early Neonatal","Female","Injuries",6617.5
"52528",2009,"70 to 74","Female","Injuries",317.6
"52530",2008,"75 to 79","Female","Injuries",457.5
"52532",2008,"80 plus","Female","Injuries",913
"52544",2008,"1 to 4","Female","Injuries",11.1
"52545",2012,"10 to 14","Female","Injuries",23.4
"52546",2008,"50 to 54","Female","Injuries",75.1
"52548",2012,"10 to 14","Male","Injuries",27.3
"52549",2006,"55 to 59","Male","Injuries",209
"52550",2009,"1 to 4","Male","Injuries",13
"52552",2007,"60 to 64","Female","Injuries",159.3
"52554",2009,"Late Neonatal","Female","Injuries",4.7
"52557",2012,"1 to 4","Female","Injuries",13
"52562",2004,"25 to 29","Female","Injuries",32706.9
"52566",2007,"Late Neonatal","Male","Injuries",3753.3
"52569",2011,"65 to 69","Female","Injuries",225.5
"52570",2009,"75 to 79","Female","Injuries",453.3
"52582",2012,"70 to 74","Female","Injuries",30000.3
"52583",2005,"55 to 59","Male","Injuries",36988.9
"52584",2006,"50 to 54","Female","Injuries",19169.1
"52585",2009,"5 to 9","Male","Injuries",20.9
"52587",2013,"60 to 64","Male","Injuries",45078.3
"52590",2008,"45 to 49","Male","Injuries",45886.4
"52592",2009,"45 to 49","Male","Injuries",47107.1
"52593",2008,"Late Neonatal","Female","Injuries",4.7
"52594",2006,"40 to 44","Female","Injuries",19799.4
"52595",2010,"Late Neonatal","Female","Injuries",4.8
"52596",2004,"30 to 34","Female","Injuries",24285.2
"52600",2012,"50 to 54","Female","Injuries",20088.8
"52602",2005,"35 to 39","Female","Injuries",20720.4
"52604",2013,"45 to 49","Male","Injuries",51438.4
"52605",2013,"40 to 44","Female","Injuries",20675.1
"52611",2011,"70 to 74","Female","Injuries",310
"52616",2009,"45 to 49","Female","Injuries",18797.8
"52621",2010,"Post Neonatal","Female","Injuries",6.9
"52622",2008,"Late Neonatal","Male","Injuries",3.7
"52626",2010,"5 to 9","Male","Injuries",21.2
"52627",2013,"55 to 59","Female","Injuries",25398.2
"52631",2006,"45 to 49","Male","Injuries",43519.5
"52633",2005,"40 to 44","Male","Injuries",44717.1
"52636",2009,"Late Neonatal","Male","Injuries",3.7
"52640",2005,"40 to 44","Female","Injuries",19838.3
"52641",2013,"45 to 49","Female","Injuries",19846.4
"52650",2011,"70 to 74","Male","Injuries",381
"52652",2011,"75 to 79","Male","Injuries",532.3
"52655",2004,"40 to 44","Female","Injuries",19946.4
"52656",2006,"50 to 54","Male","Injuries",43567.9
"52659",2007,"40 to 44","Female","Injuries",19869.7
"52665",2008,"1 to 4","Male","Injuries",12.5
"52671",2010,"1 to 4","Male","Injuries",13.4
"52688",2012,"5 to 9","Male","Injuries",21.7
"52690",2013,"50 to 54","Male","Injuries",49395.9
"52692",2012,"60 to 64","Male","Injuries",42534.5
"52693",2011,"75 to 79","Female","Injuries",447.1
"52695",2011,"80 plus","Male","Injuries",930.3
"52696",2012,"55 to 59","Female","Injuries",25201
"52697",2008,"Post Neonatal","Female","Injuries",6.5
"52698",2012,"5 to 9","Female","Injuries",17.8
"52700",2006,"45 to 49","Female","Injuries",18044.2
"52708",2012,"65 to 69","Female","Injuries",29362.4
"52709",2011,"80 plus","Female","Injuries",913.6
"52714",2013,"55 to 59","Male","Injuries",53270.2
"52720",2004,"45 to 49","Male","Injuries",41103.3
"52728",2005,"45 to 49","Male","Injuries",42088.7
"52730",2012,"60 to 64","Female","Injuries",27220.4
"52731",2004,"35 to 39","Female","Injuries",20890.9
"52733",2013,"65 to 69","Male","Injuries",36179.5
"52747",2012,"70 to 74","Male","Injuries",32071.1
"52751",2005,"50 to 54","Male","Injuries",42307.4
"52752",2012,"65 to 69","Male","Injuries",35573.3
"52754",2013,"50 to 54","Female","Injuries",20252.4
"52766",2008,"Post Neonatal","Male","Injuries",7.3
"52769",2005,"45 to 49","Female","Injuries",17649.7
"52776",2005,"50 to 54","Female","Injuries",18777.1
"52780",2012,"55 to 59","Male","Injuries",52447.9
"52788",2013,"65 to 69","Female","Injuries",29564.2
"52795",2004,"40 to 44","Male","Injuries",43587
"52853",2005,"10 to 14","Male","Interstitial lung disease and pulmonary sarcoidosis",0
"52856",2013,"50 to 54","Male","Interstitial lung disease and pulmonary sarcoidosis",17.5
"52859",2011,"65 to 69","Male","Interstitial lung disease and pulmonary sarcoidosis",2.6
"52862",2013,"50 to 54","Female","Interstitial lung disease and pulmonary sarcoidosis",15.3
"52871",2012,"45 to 49","Female","Interstitial lung disease and pulmonary sarcoidosis",5.6
"52873",2013,"40 to 44","Female","Interstitial lung disease and pulmonary sarcoidosis",2.5
"52874",2005,"55 to 59","Male","Interstitial lung disease and pulmonary sarcoidosis",1.7
"52876",2005,"5 to 9","Male","Interstitial lung disease and pulmonary sarcoidosis",0
"52878",2009,"65 to 69","Male","Interstitial lung disease and pulmonary sarcoidosis",2.4
"52879",2011,"55 to 59","Male","Interstitial lung disease and pulmonary sarcoidosis",38.5
"52880",2013,"45 to 49","Male","Interstitial lung disease and pulmonary sarcoidosis",6.4
"52882",2013,"45 to 49","Female","Interstitial lung disease and pulmonary sarcoidosis",5.5
"52885",2013,"40 to 44","Male","Interstitial lung disease and pulmonary sarcoidosis",3.3
"52886",2011,"65 to 69","Female","Interstitial lung disease and pulmonary sarcoidosis",2.8
"52893",2010,"60 to 64","Female","Interstitial lung disease and pulmonary sarcoidosis",53.8
"52896",2008,"65 to 69","Male","Interstitial lung disease and pulmonary sarcoidosis",2.4
"52902",2006,"55 to 59","Female","Interstitial lung disease and pulmonary sarcoidosis",2.1
"52904",2008,"65 to 69","Female","Interstitial lung disease and pulmonary sarcoidosis",2.5
"52905",2006,"55 to 59","Male","Interstitial lung disease and pulmonary sarcoidosis",1.8
"52906",2007,"50 to 54","Female","Interstitial lung disease and pulmonary sarcoidosis",1.8
"52909",2008,"40 to 44","Female","Interstitial lung disease and pulmonary sarcoidosis",772.7
"52911",2007,"50 to 54","Male","Interstitial lung disease and pulmonary sarcoidosis",1.2
"52914",2012,"50 to 54","Female","Interstitial lung disease and pulmonary sarcoidosis",15.3
"52918",2007,"5 to 9","Male","Interstitial lung disease and pulmonary sarcoidosis",0
"52925",2009,"55 to 59","Male","Interstitial lung disease and pulmonary sarcoidosis",1.9
"52927",2005,"40 to 44","Female","Interstitial lung disease and pulmonary sarcoidosis",0.5
"52935",2008,"30 to 34","Male","Interstitial lung disease and pulmonary sarcoidosis",492.9
"52942",2005,"60 to 64","Female","Interstitial lung disease and pulmonary sarcoidosis",49.5
"52946",2009,"55 to 59","Female","Interstitial lung disease and pulmonary sarcoidosis",2.3
"52947",2005,"50 to 54","Female","Interstitial lung disease and pulmonary sarcoidosis",1.7
"52951",2008,"70 to 74","Male","Interstitial lung disease and pulmonary sarcoidosis",2.1
"52953",2008,"55 to 59","Male","Interstitial lung disease and pulmonary sarcoidosis",1.8
"52954",2007,"60 to 64","Female","Interstitial lung disease and pulmonary sarcoidosis",50.7
"52956",2011,"50 to 54","Female","Interstitial lung disease and pulmonary sarcoidosis",15.4
"52960",2005,"5 to 9","Female","Interstitial lung disease and pulmonary sarcoidosis",0
"52961",2007,"55 to 59","Female","Interstitial lung disease and pulmonary sarcoidosis",2.1
"52962",2011,"50 to 54","Male","Interstitial lung disease and pulmonary sarcoidosis",17.2
"52964",2012,"45 to 49","Male","Interstitial lung disease and pulmonary sarcoidosis",6.3
"52967",2013,"35 to 39","Female","Interstitial lung disease and pulmonary sarcoidosis",1.7
"52979",2008,"40 to 44","Male","Interstitial lung disease and pulmonary sarcoidosis",1022.3
"52982",2004,"60 to 64","Female","Interstitial lung disease and pulmonary sarcoidosis",49.1
"52984",2012,"50 to 54","Male","Interstitial lung disease and pulmonary sarcoidosis",17.4
"52987",2005,"60 to 64","Male","Interstitial lung disease and pulmonary sarcoidosis",1.9
"52988",2012,"60 to 64","Male","Interstitial lung disease and pulmonary sarcoidosis",62.9
"52994",2011,"70 to 74","Male","Interstitial lung disease and pulmonary sarcoidosis",149.3
"53001",2007,"60 to 64","Male","Interstitial lung disease and pulmonary sarcoidosis",1.9
"53002",2005,"50 to 54","Male","Interstitial lung disease and pulmonary sarcoidosis",1.1
"53006",2011,"45 to 49","Male","Interstitial lung disease and pulmonary sarcoidosis",6.1
"53008",2010,"70 to 74","Female","Interstitial lung disease and pulmonary sarcoidosis",2.9
"53015",2013,"5 to 9","Female","Interstitial lung disease and pulmonary sarcoidosis",0.1
"53018",2007,"1 to 4","Male","Interstitial lung disease and pulmonary sarcoidosis",0
"53021",2009,"50 to 54","Female","Interstitial lung disease and pulmonary sarcoidosis",2
"53022",2012,"40 to 44","Female","Interstitial lung disease and pulmonary sarcoidosis",2.5
"53024",2005,"30 to 34","Male","Interstitial lung disease and pulmonary sarcoidosis",0.3
"53028",2011,"55 to 59","Female","Interstitial lung disease and pulmonary sarcoidosis",29.4
"53029",2012,"55 to 59","Female","Interstitial lung disease and pulmonary sarcoidosis",29.4
"53032",2012,"55 to 59","Male","Interstitial lung disease and pulmonary sarcoidosis",38.9
"53034",2012,"70 to 74","Female","Interstitial lung disease and pulmonary sarcoidosis",3.1
"53035",2010,"40 to 44","Female","Interstitial lung disease and pulmonary sarcoidosis",872.8
"53036",2009,"80 plus","Female","Interstitial lung disease and pulmonary sarcoidosis",3.1
"53037",2012,"70 to 74","Male","Interstitial lung disease and pulmonary sarcoidosis",2.3
"53040",2005,"60 to 64","Male","Interstitial lung disease and pulmonary sarcoidosis",58.3
"53041",2007,"70 to 74","Female","Interstitial lung disease and pulmonary sarcoidosis",140.3
"53042",2004,"60 to 64","Male","Interstitial lung disease and pulmonary sarcoidosis",57.7
"53045",2005,"55 to 59","Female","Interstitial lung disease and pulmonary sarcoidosis",26.9
"53047",2004,"55 to 59","Female","Interstitial lung disease and pulmonary sarcoidosis",26.7
"53051",2007,"60 to 64","Male","Interstitial lung disease and pulmonary sarcoidosis",59.1
"53057",2013,"10 to 14","Male","Interstitial lung disease and pulmonary sarcoidosis",0
"53062",2008,"1 to 4","Male","Interstitial lung disease and pulmonary sarcoidosis",0
"53066",2013,"65 to 69","Male","Interstitial lung disease and pulmonary sarcoidosis",119.5
"53069",2008,"70 to 74","Female","Interstitial lung disease and pulmonary sarcoidosis",2.6
"53070",2007,"65 to 69","Male","Interstitial lung disease and pulmonary sarcoidosis",109.4
"53071",2011,"70 to 74","Female","Interstitial lung disease and pulmonary sarcoidosis",154
"53072",2005,"55 to 59","Female","Interstitial lung disease and pulmonary sarcoidosis",2
"53073",2010,"65 to 69","Male","Interstitial lung disease and pulmonary sarcoidosis",116.2
"53075",2011,"75 to 79","Female","Interstitial lung disease and pulmonary sarcoidosis",3.1
"53078",2010,"65 to 69","Female","Interstitial lung disease and pulmonary sarcoidosis",2.7
"53080",2012,"65 to 69","Female","Interstitial lung disease and pulmonary sarcoidosis",90.8
"53081",2008,"80 plus","Female","Interstitial lung disease and pulmonary sarcoidosis",2.9
"53085",2005,"70 to 74","Female","Interstitial lung disease and pulmonary sarcoidosis",133.9
"53087",2007,"70 to 74","Male","Interstitial lung disease and pulmonary sarcoidosis",141.1
"53091",2009,"50 to 54","Male","Interstitial lung disease and pulmonary sarcoidosis",1.3
"53098",2007,"1 to 4","Female","Interstitial lung disease and pulmonary sarcoidosis",0
"53108",2007,"65 to 69","Male","Interstitial lung disease and pulmonary sarcoidosis",2.3
"53111",2009,"65 to 69","Female","Interstitial lung disease and pulmonary sarcoidosis",2.6
"53113",2005,"65 to 69","Male","Interstitial lung disease and pulmonary sarcoidosis",107.8
"53114",2012,"75 to 79","Male","Interstitial lung disease and pulmonary sarcoidosis",229.6
"53115",2012,"70 to 74","Male","Interstitial lung disease and pulmonary sarcoidosis",151.1
"53116",2008,"75 to 79","Female","Interstitial lung disease and pulmonary sarcoidosis",2.7
"53118",2010,"70 to 74","Male","Interstitial lung disease and pulmonary sarcoidosis",2.2
"53121",2010,"80 plus","Male","Interstitial lung disease and pulmonary sarcoidosis",2.5
"53123",2011,"45 to 49","Female","Interstitial lung disease and pulmonary sarcoidosis",5.6
"53126",2007,"60 to 64","Female","Interstitial lung disease and pulmonary sarcoidosis",2.4
"53129",2007,"55 to 59","Male","Interstitial lung disease and pulmonary sarcoidosis",1.8
"53135",2005,"25 to 29","Male","Interstitial lung disease and pulmonary sarcoidosis",0.4
"53138",2006,"1 to 4","Female","Interstitial lung disease and pulmonary sarcoidosis",0
"53148",2013,"55 to 59","Female","Interstitial lung disease and pulmonary sarcoidosis",29.4
"53150",2011,"65 to 69","Female","Interstitial lung disease and pulmonary sarcoidosis",90.4
"53151",2010,"75 to 79","Female","Interstitial lung disease and pulmonary sarcoidosis",3
"53152",2010,"75 to 79","Male","Interstitial lung disease and pulmonary sarcoidosis",2.3
"53153",2004,"65 to 69","Male","Interstitial lung disease and pulmonary sarcoidosis",106.4
"53157",2011,"60 to 64","Female","Interstitial lung disease and pulmonary sarcoidosis",54.9
"53158",2011,"80 plus","Female","Interstitial lung disease and pulmonary sarcoidosis",3.3
"53160",2006,"60 to 64","Female","Interstitial lung disease and pulmonary sarcoidosis",2.3
"53166",2012,"75 to 79","Male","Interstitial lung disease and pulmonary sarcoidosis",2.4
"53167",2007,"75 to 79","Male","Interstitial lung disease and pulmonary sarcoidosis",209.7
"53169",2013,"70 to 74","Female","Interstitial lung disease and pulmonary sarcoidosis",3.2
"53170",2005,"45 to 49","Female","Interstitial lung disease and pulmonary sarcoidosis",0.8
"53178",2005,"20 to 24","Female","Interstitial lung disease and pulmonary sarcoidosis",0.3
"53179",2007,"10 to 14","Male","Interstitial lung disease and pulmonary sarcoidosis",0
"53181",2011,"10 to 14","Male","Interstitial lung disease and pulmonary sarcoidosis",0
"53189",2013,"55 to 59","Male","Interstitial lung disease and pulmonary sarcoidosis",39.2
"53198",2011,"75 to 79","Male","Interstitial lung disease and pulmonary sarcoidosis",2.4
"53199",2013,"65 to 69","Female","Interstitial lung disease and pulmonary sarcoidosis",91
"53200",2007,"65 to 69","Female","Interstitial lung disease and pulmonary sarcoidosis",2.4
"53202",2009,"70 to 74","Female","Interstitial lung disease and pulmonary sarcoidosis",2.8
"53205",2008,"80 plus","Male","Interstitial lung disease and pulmonary sarcoidosis",2.4
"53209",2012,"80 plus","Female","Interstitial lung disease and pulmonary sarcoidosis",3.4
"53217",2005,"25 to 29","Female","Interstitial lung disease and pulmonary sarcoidosis",0.3
"53219",2006,"5 to 9","Male","Interstitial lung disease and pulmonary sarcoidosis",0
"53221",2013,"1 to 4","Female","Interstitial lung disease and pulmonary sarcoidosis",0.1
"53224",2011,"1 to 4","Female","Interstitial lung disease and pulmonary sarcoidosis",0.1
"53229",2013,"70 to 74","Male","Interstitial lung disease and pulmonary sarcoidosis",153.2
"53232",2011,"70 to 74","Male","Interstitial lung disease and pulmonary sarcoidosis",2.3
"53233",2006,"60 to 64","Male","Interstitial lung disease and pulmonary sarcoidosis",1.9
"53239",2013,"70 to 74","Female","Interstitial lung disease and pulmonary sarcoidosis",155.6
"53244",2011,"70 to 74","Female","Interstitial lung disease and pulmonary sarcoidosis",3
"53265",2008,"35 to 39","Female","Interstitial lung disease and pulmonary sarcoidosis",602
"53266",2008,"25 to 29","Female","Interstitial lung disease and pulmonary sarcoidosis",375
"53272",2013,"60 to 64","Female","Interstitial lung disease and pulmonary sarcoidosis",55
"53273",2009,"70 to 74","Male","Interstitial lung disease and pulmonary sarcoidosis",2.2
"53278",2013,"60 to 64","Male","Interstitial lung disease and pulmonary sarcoidosis",64.2
"53288",2006,"65 to 69","Male","Interstitial lung disease and pulmonary sarcoidosis",2.3
"53289",2012,"75 to 79","Female","Interstitial lung disease and pulmonary sarcoidosis",231.4
"53290",2005,"60 to 64","Female","Interstitial lung disease and pulmonary sarcoidosis",2.3
"53293",2004,"30 to 34","Male","Interstitial lung disease and pulmonary sarcoidosis",0.2
"53305",2011,"1 to 4","Male","Interstitial lung disease and pulmonary sarcoidosis",0.1
"53308",2010,"25 to 29","Male","Interstitial lung disease and pulmonary sarcoidosis",715.1
"53315",2009,"30 to 34","Female","Interstitial lung disease and pulmonary sarcoidosis",409.6
"53325",2009,"15 to 19","Male","Interstitial lung disease and pulmonary sarcoidosis",225.2
"53327",2012,"15 to 19","Male","Interstitial lung disease and pulmonary sarcoidosis",233.7
"53330",2008,"75 to 79","Male","Interstitial lung disease and pulmonary sarcoidosis",2.2
"53334",2011,"50 to 54","Female","Interstitial lung disease and pulmonary sarcoidosis",2.2
"53335",2009,"25 to 29","Female","Interstitial lung disease and pulmonary sarcoidosis",0.4
"53337",2005,"20 to 24","Male","Interstitial lung disease and pulmonary sarcoidosis",0.3
"53338",2006,"5 to 9","Female","Interstitial lung disease and pulmonary sarcoidosis",0
"53343",2011,"10 to 14","Female","Interstitial lung disease and pulmonary sarcoidosis",0
"53345",2009,"25 to 29","Female","Interstitial lung disease and pulmonary sarcoidosis",391.6
"53347",2008,"25 to 29","Male","Interstitial lung disease and pulmonary sarcoidosis",635.6
"53348",2008,"45 to 49","Male","Interstitial lung disease and pulmonary sarcoidosis",1782.7
"53354",2011,"15 to 19","Female","Interstitial lung disease and pulmonary sarcoidosis",274.2
"53356",2013,"25 to 29","Female","Interstitial lung disease and pulmonary sarcoidosis",429.6
"53357",2008,"15 to 19","Female","Interstitial lung disease and pulmonary sarcoidosis",257.5
"53360",2012,"20 to 24","Male","Interstitial lung disease and pulmonary sarcoidosis",578.5
"53363",2012,"60 to 64","Female","Interstitial lung disease and pulmonary sarcoidosis",55.3
"53365",2010,"15 to 19","Female","Interstitial lung disease and pulmonary sarcoidosis",270.4
"53366",2005,"1 to 4","Male","Interstitial lung disease and pulmonary sarcoidosis",32.8
"53373",2008,"60 to 64","Female","Interstitial lung disease and pulmonary sarcoidosis",2.5
"53380",2005,"35 to 39","Male","Interstitial lung disease and pulmonary sarcoidosis",0.3
"53382",2005,"10 to 14","Female","Interstitial lung disease and pulmonary sarcoidosis",0
"53384",2013,"1 to 4","Male","Interstitial lung disease and pulmonary sarcoidosis",0.1
"53386",2009,"30 to 34","Male","Interstitial lung disease and pulmonary sarcoidosis",529.8
"53389",2008,"30 to 34","Female","Interstitial lung disease and pulmonary sarcoidosis",386
"53390",2009,"20 to 24","Female","Interstitial lung disease and pulmonary sarcoidosis",376.4
"53391",2008,"35 to 39","Male","Interstitial lung disease and pulmonary sarcoidosis",816.5
"53394",2008,"20 to 24","Female","Interstitial lung disease and pulmonary sarcoidosis",363.8
